"id","tot01Cln","tot06Cln","tot11Cln","totChange.06","engChange.06","forChange.06","totChange.11","engChange.11","forChange.11","relevant"
128011527,22919,23352,24579,1.89,1.02,0.87,7.24,5.13,2.12,0
128011528,26654,25619,27652,-3.88,-3.13,-0.75,3.74,2.4,1.34,0
128011529,15625,15915,16213,1.86,0.94,0.92,3.76,1.54,2.22,0
128011530,15439,15722,16650,1.83,0.76,1.08,7.84,3.54,4.3,0
128011531,13458,13598,14402,1.04,-0.21,1.25,7.01,2.03,4.99,0
128021532,26526,26390,26855,-0.51,-1,0.49,1.24,0.58,0.66,0
128021533,6227,6092,6291,-2.17,-2.25,0.08,1.03,-0.06,1.09,0
128021534,11120,10548,10258,-5.14,-4.46,-0.68,-7.75,-7.13,-0.62,0
128021535,20156,20415,20372,1.28,1.38,-0.09,1.07,0.81,0.26,0
128021536,19364,18991,19739,-1.93,-1.94,0.01,1.94,0,1.94,0
128021537,84,6,153,0,0,0,0,0,0,1
128021538,17182,17419,18227,1.38,1.32,0.06,6.08,3.22,2.86,0
