id,total.01,foreign.01,english.01,other01,,total.06,foreign.06,english.06,other06,,total.11,foreign.11,english.11,other.11,,,,,,,,,,,,,
122021420,12215,572,10651,992,,11839,536,10409,894,,11774,623,10680,471,,,,,,,,,,,,,
122021421,9958,613,8762,583,,9616,569,8467,580,,9995,740,8915,340,,,,,,,,,,,,,
122021422,12088,678,10701,709,,11981,694,10594,693,,12637,784,11245,608,,,,,,,,,,,,,
122021423,18557,1620,15761,1176,,19665,1776,16800,1089,,21626,2086,18713,827,,,,,,,,,,,,,
122031424,11342,2068,8789,485,,11561,2179,8987,395,,12912,2549,9943,420,,,,,,,,,,,,,
122031425,6994,775,5956,263,,7167,758,6165,244,,7324,891,6206,227,,,,,,,,,,,,,
122031426,18583,3988,13375,1220,,20111,4319,14047,1745,,22694,5771,15691,1232,,,,,,,,,,,,,
122031427,11608,2252,8730,626,,11831,2368,9082,381,,12154,2641,9158,355,,,,,,,,,,,,,
122031428,22843,2915,19212,716,,23424,3242,19522,660,,23882,3306,20006,570,,,,,,,,,,,,,
122031429,17999,2342,14397,1260,,18610,2363,14917,1330,,19239,2620,15459,1160,,,,,,,,,,,,,
122031430,14966,2053,12324,589,,15255,2103,12585,567,,15736,2290,12894,552,,,,,,,,,,,,,
122031431,20924,1815,17624,1485,,22032,1955,18646,1431,,22467,2245,18748,1474,,,,,,,,,,,,,
122031432,3581,224,3171,186,,3498,223,2927,348,,3523,257,3125,141,,,,,,,,,,,,,
123011433,10249,301,9544,404,,10519,381,9770,368,,12027,512,11119,396,,,,,,,,,,,,,
123011434,9773,472,8971,330,,12807,876,11426,505,,15988,1402,14182,404,,,,,,,,,,,,,
123011435,18368,1400,16209,759,,20913,1758,18619,536,,23852,2389,20775,688,,,,,,,,,,,,,
123021436,18822,2640,15023,1159,,18469,2673,14676,1120,,19120,2979,15237,904,,,,,,,,,,,,,
123021437,12888,2337,9753,798,,14686,3272,10503,911,,16364,3907,11491,966,,,,,,,,,,,,,
123021438,22327,4374,16574,1379,,20959,4325,15610,1024,,21025,4331,15391,1303,,,,,,,,,,,,,
123021439,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,
123021440,16052,3289,11809,954,,15976,4015,11013,948,,16627,5152,10767,708,,,,,,,,,,,,,
123021441,16061,1923,13433,705,,15242,2181,12368,693,,15908,2643,12613,652,,,,,,,,,,,,,
123021442,21124,5440,13895,1789,,20066,5898,11949,2219,,20940,7819,11861,1260,,,,,,,,,,,,,
123021443,19259,4624,13454,1181,,18446,5309,12270,867,,17470,5969,10693,808,,,,,,,,,,,,,
123021444,20884,3897,15924,1063,,20354,4003,15434,917,,20066,4198,14647,1221,,,,,,,,,,,,,
123031446,6456,271,5931,254,,6902,360,6293,249,,6999,382,6407,210,,,,,,,,,,,,,
123031447,13471,764,11955,752,,14370,750,13118,502,,15089,756,13702,631,,,,,,,,,,,,,
123031448,7572,392,6901,279,,8121,416,7192,513,,8444,459,7671,314,,,,,,,,,,,,,
124011449,5272,239,4686,347,,5182,232,4496,454,,5544,249,4548,747,,,,,,,,,,,,,
124011450,18379,671,17273,435,,17954,732,16850,372,,18265,769,17096,400,,,,,,,,,,,,,
124011451,0,0,0,0,,0,0,0,0,,26,0,26,0,,,,,,,,,,,,,
124011452,13515,961,11442,1112,,13063,923,10797,1343,,13367,985,10872,1510,,,,,,,,,,,,,
124011453,10360,478,9472,410,,10462,458,9559,445,,10814,557,9875,382,,,,,,,,,,,,,
124011454,21192,738,19736,718,,21255,859,19960,436,,21414,942,20108,364,,,,,,,,,,,,,
124011455,5390,322,4866,202,,5592,303,4969,320,,5793,343,5031,419,,,,,,,,,,,,,
124021456,0,0,0,0,,0,0,0,0,,7,0,7,0,,,,,,,,,,,,,
124031457,16010,1090,14319,601,,15078,1107,13675,296,,15012,1128,13423,461,,,,,,,,,,,,,
124031458,15999,1352,13841,806,,16004,1385,13935,684,,17268,1575,15032,661,,,,,,,,,,,,,
124031459,13974,851,12386,737,,13521,761,12273,487,,13822,806,12482,534,,,,,,,,,,,,,
124031460,17752,1884,14887,981,,19803,2367,16904,532,,20721,2684,17541,496,,,,,,,,,,,,,
124031461,16946,1377,14906,663,,16214,1238,14467,509,,16781,1396,14650,735,,,,,,,,,,,,,
124031462,15708,2459,12215,1034,,15711,2572,12207,932,,17689,3457,13035,1197,,,,,,,,,,,,,
124031463,6483,909,5116,458,,6756,973,5301,482,,6513,925,5361,227,,,,,,,,,,,,,
124031464,11619,1269,9489,861,,11671,1310,9389,972,,12033,1608,9512,913,,,,,,,,,,,,,
