ColumName,Source,TimePeriod,Gender,Language,Include
SOL_Turkish_C01_M,10B,2001,male,Turkish,YES
SOL_Turkish_C01_F,10B,2001,female,Turkish,YES
SOL_Turkish_C01_P,10B,2001,all,Turkish,YES
SOL_Turkish_C06_M,10B,2006,male,Turkish,YES
SOL_Turkish_C06_F,10B,2006,female,Turkish,YES
SOL_Turkish_C06_P,10B,2006,all,Turkish,YES
SOL_Turkish_C11_M,10B,2011,male,Turkish,YES
SOL_Turkish_C11_F,10B,2011,female,Turkish,YES
SOL_Turkish_C11_P,10B,2011,all,Turkish,YES
SOL_Viet_C01_M,10B,2001,male,Vietnamese,YES
SOL_Viet_C01_F,10B,2001,female,Vietnamese,YES
SOL_Viet_C01_P,10B,2001,all,Vietnamese,YES
SOL_Viet_C06_M,10B,2006,male,Vietnamese,YES
SOL_Viet_C06_F,10B,2006,female,Vietnamese,YES
SOL_Viet_C06_P,10B,2006,all,Vietnamese,YES
SOL_Viet_C11_M,10B,2011,male,Vietnamese,YES
SOL_Viet_C11_F,10B,2011,female,Vietnamese,YES
SOL_Viet_C11_P,10B,2011,all,Vietnamese,YES
SOL_Other_C01_M,10B,2001,male,Unclassified,YES
SOL_Other_C01_F,10B,2001,female,Unclassified,YES
SOL_Other_C01_P,10B,2001,all,Unclassified,YES
SOL_Other_C06_M,10B,2006,male,Unclassified,YES
SOL_Other_C06_F,10B,2006,female,Unclassified,YES
SOL_Other_C06_P,10B,2006,all,Unclassified,YES
SOL_Other_C11_M,10B,2011,male,Unclassified,YES
SOL_Other_C11_F,10B,2011,female,Unclassified,YES
SOL_Other_C11_P,10B,2011,all,Unclassified,YES
SOL_Tot_C01_M,10B,2001,male,Sub Total,NO
SOL_Tot_C01_F,10B,2001,female,Sub Total,NO
SOL_Tot_C01_P,10B,2001,all,Sub Total,NO
SOL_Tot_C06_M,10B,2006,male,Sub Total,NO
SOL_Tot_C06_F,10B,2006,female,Sub Total,NO
SOL_Tot_C06_P,10B,2006,all,Sub Total,NO
SOL_Tot_C11_M,10B,2011,male,Sub Total,NO
SOL_Tot_C11_F,10B,2011,female,Sub Total,NO
SOL_Tot_C11_P,10B,2011,all,Sub Total,NO
Lang_spoke_home_NS_C01_M,10B,2001,male,Not Stated,YES
Lang_spoke_home_NS_C01_F,10B,2001,female,Not Stated,YES
Lang_spoke_home_NS_C01_P,10B,2001,all,Not Stated,YES
Lang_spoke_home_NS_C06_M,10B,2006,male,Not Stated,YES
Lang_spoke_home_NS_C06_F,10B,2006,female,Not Stated,YES
Lang_spoke_home_NS_C06_P,10B,2006,all,Not Stated,YES
Lang_spoke_home_NS_C11_M,10B,2011,male,Not Stated,YES
Lang_spoke_home_NS_C11_F,10B,2011,female,Not Stated,YES
Lang_spoke_home_NS_C11_P,10B,2011,all,Not Stated,YES
OS_vis_C01_M,10B,2001,male,Overseas Visitors,YES
OS_vis_C01_F,10B,2001,female,Overseas Visitors,YES
OS_vis_C01_P,10B,2001,all,Overseas Visitors,YES
OS_vis_C06_M,10B,2006,male,Overseas Visitors,YES
OS_vis_C06_F,10B,2006,female,Overseas Visitors,YES
OS_vis_C06_P,10B,2006,all,Overseas Visitors,YES
OS_vis_C11_M,10B,2011,male,Overseas Visitors,YES
OS_vis_C11_F,10B,2011,female,Overseas Visitors,YES
